gene_id	N61311_untreated	N61311_dex	N052611_untreated	N052611_dex	N080611_untreated	N080611_dex	N061011_untreated	N061011_dex
ENSG00000164366.4	8.27877271600797	8.33434697154364	8.44325837336106	8.49600000462482	8.38450091547393	8.34446818342049	8.44747641996916	8.60046724646671
ENSG00000260774.1	6.64821876902176	6.59090765639085	6.74861155170608	6.59853369009248	6.43935831587626	6.75267309804514	6.74702469803714	6.59898859408845
ENSG00000286001.1	6.80048767211086	6.70160896022124	6.74861155170608	6.75722721090719	6.81077545829778	6.66112256367871	6.59340998201429	6.59898859408845
ENSG00000073578.18	8.0299147144838	8.02599077399634	7.81497005132884	7.81943806550966	7.94959585241535	7.94726080750155	7.85962159047878	7.86210577694485
ENSG00000248925.3	6.43935831587626	6.43935831587626	6.59420680516964	6.59853369009248	6.65419024516067	6.59624643103017	6.74702469803714	6.59898859408845
ENSG00000249915.9	7.26424750246052	7.24532990394283	7.28957509974307	7.12701163853944	7.2742357569852	7.15141483343935	7.230272921022	7.28717967992664
ENSG00000250848.1	7.52923989641698	7.33463785012026	7.40126016169906	7.33954120017837	7.51099567843774	7.48116555352195	7.40794524758021	7.31508878620013
ENSG00000063438.20	6.80048767211086	6.7776134688375	6.81775463736341	6.85922707273188	6.96319099458342	7.04287267906183	7.03210343032744	6.82938173877161
ENSG00000214278.4	7.15611003539891	7.23165671836133	7.30279019145036	7.31266433276248	7.20562298294026	7.1345826213474	7.1052465005924	7.16361990109882
ENSG00000221990.5	6.98910180233029	6.8923522352928	7.108633685461	7.07131815276461	6.86784265543588	6.93331040795514	6.99168415881239	6.98928066440998
ENSG00000180104.16	8.38433156816901	8.41049773243296	8.31782161816045	8.24920336030472	8.38895546963466	8.42987619303785	8.40308165206878	8.46921039648651
ENSG00000066230.12	7.09475955628197	7.14350454528051	6.90214012777943	6.85922707273188	6.89362786770973	6.85322918326179	6.92445549075663	6.94186705247055
ENSG00000225138.8	7.92955587820145	7.86606472963437	7.43535750935192	7.66612010112175	7.36090700209148	7.2444858616082	7.50480766329044	7.44172872617975
ENSG00000112877.8	6.88107787728229	6.74204092910778	6.78494942059072	6.66435240536893	6.77856944871386	6.66112256367871	6.94789582579647	6.75813289054065
ENSG00000188818.13	6.80048767211086	6.80972966199624	6.78494942059072	6.71477957466235	6.81077545829778	6.78948382610015	6.74702469803714	6.82938173877161
ENSG00000247872.2	7.49196898311379	7.59259093712928	7.47882545550073	7.35264675280945	7.54959328369672	7.57397736363131	7.44144096185602	7.40572002503538
ENSG00000028310.18	7.87903900284121	7.89993177286897	7.94270691255159	7.94644659356849	8.01200987085907	8.1069019782067	8.01298582220099	7.92897752254266
ENSG00000071539.14	6.88107787728229	6.98280971378101	6.87587918695416	6.85922707273188	6.8403514729454	6.90818894211843	6.94789582579647	6.94186705247055
ENSG00000145506.14	7.02655928775741	7.38145303967408	6.84787938213258	7.17823401500456	6.74289715357801	7.33992354409416	7.29847011027295	7.72323672758876
ENSG00000113504.21	8.14295954710883	8.0954737560884	7.82247350612604	7.90327224297391	7.86981357676268	7.89823722768494	8.09133966874546	8.15707849028864
ENSG00000049656.14	8.76811446735688	8.87352860260762	8.61289295887716	8.79525083883113	8.73399792352559	8.91782371020523	8.74962650682354	8.84304278251533
ENSG00000286388.1	7.1261710930758	7.09460393922451	7.48936634673305	7.24105354332556	7.19107340526396	7.15141483343935	7.38485590504998	7.05327662428992
ENSG00000153395.10	8.75232597704331	8.82060248662524	8.38904400296594	8.4503474615651	8.57866979565501	9.00963440792201	8.38945413730409	8.63333957951632
ENSG00000291055.1	7.54732234933451	7.76517760927074	7.44642870137219	7.50665748875958	7.52079799556434	7.37752396094456	7.57354186617709	7.40572002503538
ENSG00000271119.1	6.58710938520095	6.59090765639085	6.74861155170608	6.71477957466235	6.65419024516067	6.66112256367871	6.7059310337478	6.71556510257389
ENSG00000291079.1	7.02655928775741	7.02259645964244	7.05438194769747	7.03108379795622	7.11320248327584	6.95716985536871	7.24442409608208	7.14651045137942
ENSG00000232615.4	7.36963937325821	7.28489170224431	7.21976318525012	7.21034358070588	7.38403630536324	7.37752396094456	7.38485590504998	7.3681050056998
ENSG00000288549.1	6.43935831587626	6.65358313805485	6.43935831587626	6.59853369009248	6.43935831587626	6.59624643103017	6.74702469803714	6.66499475927517
ENSG00000171421.13	7.33605180474466	7.59259093712928	7.41277844705169	7.43897863030172	7.50108663116043	7.65848352294689	7.39648013019841	7.48753095159613
